Target id,Gene symbol,Chromosome,Gene name,Protein name,Ensembl id,UniProt id,P_value,FDR(BH),FDR(Bonferroni),Relationship,Value,"간경변 (Liver Cirrhosis, Experimental)",조현병 (Schizophrenia),"실험적 당뇨병 (Diabetes Mellitus, Experimental)"
SMTT04077,TERF1,8,Telomeric Repeat Binding Factor 1,None,ENSG00000147601,P54274,0.0106139,0.0275226,1,By_ingredient,0.2223,,,
SMTT11611,UBE2B,None,ubiquitin conjugating enzyme E2 B,None,ENSG00000119048,None,0.0309996,0.0728543,1,By_ingredient,0.2223,,,
SMTT11619,UBE2E3,None,ubiquitin conjugating enzyme E2 E3,None,ENSG00000170035,None,0.0309996,0.0728543,1,By_ingredient,0.222,,,
SMTT03855,CD14,5,CD14 Molecule,None,ENSG00000170458,P08571,0.0620248,0.0852515,1,By_ingredient,0.2218,,,
SMTT01397,GLIPR2,None,GLI pathogenesis related 2,Golgi-associated Plant Pathogenesis-related Protein 1,ENSG00000122694,Q9H4G4,0.0106139,0.0275226,1,By_ingredient,0.2216,,,
SMTT11635,UBE2U,None,ubiquitin conjugating enzyme E2 U,None,ENSG00000177414,None,0.0309996,0.0728543,1,By_ingredient,0.2212,,,
SMTT01603,HS3ST3A1,None,heparan sulfate-glucosamine 3-sulfotransferase 3A1,Heparan Sulfate Glucosamine 3-O-sulfotransferase 3A1,ENSG00000153976,Q9Y663,0.0106139,0.0275226,1,By_ingredient,0.2193,,,
SMTT03385,TAT,16,Tyrosine Aminotransferase,Tyrosine Aminotransferase,ENSG00000198650,P17735,0.0211156,0.0406086,1,By_ingredient,0.2188,,,
SMTT06463,FAM102A,None,family with sequence similarity 102 member A,None,ENSG00000167106,None,0.0309996,0.0728543,1,By_ingredient,0.2183,,,
SMTT11616,UBE2D4,None,ubiquitin conjugating enzyme E2 D4 (putative),None,ENSG00000078967,None,0.0309996,0.0728543,1,By_ingredient,0.2166,,,
SMTT03910,AMY1C,1,"Amylase, Alpha 1C (salivary)",None,ENSG00000187733,P04745,0.0207743,0.0406086,1,By_ingredient,0.2155,,,
SMTT05689,COMTD1,None,catechol-O-methyltransferase domain containing 1,None,ENSG00000165644,None,0.0207743,0.0623143,1,By_ingredient,0.2155,,,
SMTT01071,EGLN1,1,Egl-9 Family Hypoxia Inducible Factor 1,Egl Nine Homolog 1,ENSG00000135766,Q9GZT9,0.0315064,0.0524247,1,By_ingredient,0.2154,,,
SMTT11628,UBE2L6,None,ubiquitin conjugating enzyme E2 L6,None,ENSG00000156587,None,0.0411186,0.0827307,1,By_ingredient,0.215,,,
SMTT04236,CRTC2,1,CREB Regulated Transcription Coactivator 2,None,ENSG00000160741,Q53ET0,0.0207743,0.0623143,1,By_ingredient,0.213,,,
SMTT04156,HEY1,8,Hes Related Family BHLH Transcription Factor With YRPW Motif 1,None,ENSG00000164683,Q9Y5J3,0.0106139,0.0275226,1,By_ingredient,0.2123,,,
SMTT01350,GBA2,9,Glucosylceramidase Beta 2,None,ENSG00000070610,None,0.0106139,0.0275226,1,By_ingredient,0.212,,,
SMTT03944,GGT5,22,Gamma-glutamyltransferase 5,None,ENSG00000099998,P36269,0.0417875,0.0637458,1,By_ingredient,0.2119,,,
SMTT02287,NDUFS8,11,NADH:ubiquinone Oxidoreductase Core Subunit S8,"NADH Dehydrogenase [ubiquinone] Iron-sulfur Protein 8, Mitochondrial",ENSG00000110717,O00217,0.0309996,0.0728543,1,By_ingredient,0.2102,,,
SMTT04213,FTMT,5,Ferritin Mitochondrial,None,ENSG00000181867,Q8N4E7,0.0417875,0.0637458,1,By_ingredient,0.2096,,,
SMTT09951,RIOX1,None,ribosomal oxygenase 1,None,ENSG00000170468,None,0.0104415,0.0482577,1,By_ingredient,0.2089,,,
SMTT05371,CDC34,None,cell division cycle 34,None,ENSG00000099804,None,0.0309996,0.0728543,1,By_ingredient,0.2078,,,
SMTT02775,PTGIS,20,Prostaglandin I2 Synthase,Prostacyclin Synthase,ENSG00000124212,Q16647,0.0106139,0.0275226,1,By_ingredient,0.2039,,,
SMTT01652,IFNG,None,interferon gamma,Interferon Gamma,ENSG00000111537,P01579,0.226048,0.254343,1,By_ingredient,0.2035,,,
SMTT03853,EIF4G1,3,Eukaryotic Translation Initiation Factor 4 Gamma 1,None,ENSG00000114867,Q04637,0.0211156,0.0406086,1,By_ingredient,0.2034,,,
SMTT04120,CES2,16,Carboxylesterase 2,None,ENSG00000172831,O00748,0.0620248,0.0852515,1,By_ingredient,0.2032,,,
SMTT06882,GLYAT,None,glycine-N-acyltransferase,None,ENSG00000149124,None,0.0309996,0.0728543,1,By_ingredient,0.2018,,,
SMTT01083,EIF4E,None,eukaryotic translation initiation factor 4E,Eukaryotic Translation Initiation Factor 4E,ENSG00000151247,P06730,0.0309996,0.0524247,1,By_ingredient,0.2014,,,
SMTT01513,HADHB,2,Hydroxyacyl-CoA Dehydrogenase Trifunctional Multienzyme Complex Subunit Beta,None,ENSG00000138029,None,0.0519599,0.0746512,1,By_ingredient,0.2001,,,
SMTT00971,DMPK,19,DM1 Protein Kinase,Myotonin-protein Kinase,ENSG00000104936,Q09013,0.0207743,0.0623143,1,By_ingredient,0.1985,,,
SMTT08267,MMUT,None,None,None,None,None,0.0411186,0.0827307,1,By_ingredient,0.1985,,,
SMTT01628,HTR3A,None,5-hydroxytryptamine receptor 3A,5-hydroxytryptamine Receptor 3A,ENSG00000166736,P46098,0.583893,0.614741,1,By_ingredient,0.1984,,,
SMTT09262,PLPBP,None,pyridoxal phosphate binding protein,None,ENSG00000147471,None,0.0411186,0.0827307,1,By_ingredient,0.1979,,,
SMTT02417,ODC1,None,ornithine decarboxylase 1,Ornithine Decarboxylase,ENSG00000115758,P11926,0.157006,0.183341,1,By_ingredient,0.1961,,,
SMTT01472,GRIN3A,None,glutamate ionotropic receptor NMDA type subunit 3A,"Glutamate Receptor Ionotropic, NMDA 3A",ENSG00000198785,Q8TCU5,0.091586,0.116212,1,By_ingredient,0.1949,,,
SMTT03030,SELP,None,selectin P,P-selectin,ENSG00000174175,P16109,0.12022,0.14579,1,By_ingredient,0.1949,,,
SMTT01305,FUS,16,FUS RNA Binding Protein,None,ENSG00000089280,None,0.0106139,0.0275226,1,By_ingredient,0.1946,,,
SMTT04055,PSMD3,17,"Proteasome 26S Subunit, Non-ATPase 3",None,ENSG00000108344,O43242,0.0519599,0.0746512,1,By_ingredient,0.1945,,,
SMTT02539,PFKFB4,None,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4","6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 4",ENSG00000114268,Q16877,0.0315064,0.0524247,1,By_ingredient,0.1942,,,
SMTT01567,HMGCR,None,3-hydroxy-3-methylglutaryl-CoA reductase,3-hydroxy-3-methylglutaryl-coenzyme A Reductase,ENSG00000113161,P04035,0.138808,0.164718,1,By_ingredient,0.1941,,,
SMTT01430,GNRH1,8,Gonadotropin Releasing Hormone 1,None,ENSG00000147437,None,0.0211156,0.0406086,1,By_ingredient,0.1937,,,
SMTT01651,IFNB1,None,interferon beta 1,Interferon Beta,ENSG00000171855,P01574,0.0315064,0.0524247,1,By_ingredient,0.193,,,
SMTT06883,GLYATL1,None,glycine-N-acyltransferase like 1,None,ENSG00000166840,None,0.0309996,0.0728543,1,By_ingredient,0.1921,,,
SMTT00149,ALAS2,X,5'-aminolevulinate Synthase 2,"5-aminolevulinate Synthase, Erythroid-specific, Mitochondrial",ENSG00000158578,P22557,0.0620248,0.0852515,1,By_ingredient,0.1917,,,
SMTT06013,DGKD,None,diacylglycerol kinase delta,None,ENSG00000077044,None,0.0207743,0.0623143,1,By_ingredient,0.1915,,,
SMTT00193,AMT,3,Aminomethyltransferase,"Aminomethyltransferase, Mitochondrial",ENSG00000145020,P48728,0.0309996,0.0728543,1,By_ingredient,0.1914,,,
SMTT01333,GALT,9,Galactose-1-phosphate Uridylyltransferase,None,ENSG00000213930,None,0.0411186,0.0827307,1,By_ingredient,0.1909,,,
SMTT03135,SLC25A15,13,Solute Carrier Family 25 Member 15,Mitochondrial Ornithine Transporter 1,ENSG00000102743,Q9Y619,0.0309996,0.0728543,1,By_ingredient,0.1905,,,
SMTT00140,AKR1C1,None,aldo-keto reductase family 1 member C1,Aldo-keto Reductase Family 1 Member C1,ENSG00000187134,Q04828,0.0315064,0.0524247,1,By_ingredient,0.1904,,,
SMTT01317,G6PD,X,Glucose-6-phosphate Dehydrogenase,Glucose-6-phosphate 1-dehydrogenase,ENSG00000160211,P11413,0.0818368,0.106074,1,By_ingredient,0.1903,,,
SMTT00272,ASL,7,Argininosuccinate Lyase,Argininosuccinate Lyase,ENSG00000126522,P04424,0.0309996,0.0728543,1,By_ingredient,0.19,,,
SMTT02281,NDUFS1,2,NADH:ubiquinone Oxidoreductase Core Subunit S1,"NADH-ubiquinone Oxidoreductase 75 KDa Subunit, Mitochondrial",ENSG00000023228,P28331,0.0417875,0.0637458,1,By_ingredient,0.1897,,,
SMTT02037,MAPK3,None,mitogen-activated protein kinase 3,Mitogen-activated Protein Kinase 3,ENSG00000102882,P27361,0.266311,0.295544,1,By_ingredient,0.1879,,,
SMTT01057,EDN1,6,Endothelin 1,Endothelin-1,ENSG00000078401,P05305,0.12022,0.14579,1,By_ingredient,0.1876,,,
SMTT03709,VEGFC,4,Vascular Endothelial Growth Factor C,None,ENSG00000150630,None,0.0207743,0.0406086,1,By_ingredient,0.1876,,,
SMTT01232,FGF2,None,fibroblast growth factor 2,Fibroblast Growth Factor 2,ENSG00000138685,P09038,0.138808,0.164718,1,By_ingredient,0.1875,,,
SMTT00148,ALAS1,None,5'-aminolevulinate synthase 1,"5-aminolevulinate Synthase, Nonspecific, Mitochondrial",ENSG00000023330,P13196,0.0417875,0.0637458,1,By_ingredient,0.187,,,
SMTT02482,PCCA,13,Propionyl-CoA Carboxylase Alpha Subunit,"Propionyl-CoA Carboxylase Alpha Chain, Mitochondrial",ENSG00000175198,P05165,0.0309996,0.0728543,1,By_ingredient,0.187,,,
SMTT02036,MAPK13,None,mitogen-activated protein kinase 13,Mitogen-activated Protein Kinase 13,ENSG00000156711,O15264,0.0315064,0.0524247,1,By_ingredient,0.1856,,,
SMTT02867,REN,1,Renin,Renin,ENSG00000143839,P00797,0.0315064,0.0524247,1,By_ingredient,0.1855,,,
SMTT00059,ACSL4,X,Acyl-CoA Synthetase Long Chain Family Member 4,Long-chain-fatty-acid--CoA Ligase 4,ENSG00000068366,O60488,0.0106139,0.0275226,1,By_ingredient,0.1854,,,
SMTT01487,GSTA1,None,glutathione S-transferase alpha 1,Glutathione S-transferase A1,ENSG00000243955,P08263,0.0818368,0.106074,1,By_ingredient,0.1854,,,
SMTT02597,PLA2G2A,None,phospholipase A2 group IIA,"Phospholipase A2, Membrane Associated",ENSG00000188257,P14555,0.0818368,0.106074,1,By_ingredient,0.1849,,,
SMTT00739,COL7A1,3,Collagen Type VII Alpha 1 Chain,None,ENSG00000114270,None,0.091586,0.116212,1,By_ingredient,0.1841,,,
SMTT03970,FOSL2,2,"FOS Like 2, AP-1 Transcription Factor Subunit",None,ENSG00000075426,P15408,0.0519599,0.0746512,1,By_ingredient,0.1834,,,
SMTT04258,PRXC1A,None,Peroxidase C1A,None,None,P00433,0.0309996,0.0524247,1,By_ingredient,0.1828,,,
SMTT02706,PRDX5,None,peroxiredoxin 5,"Peroxiredoxin-5, Mitochondrial",ENSG00000126432,P30044,0.0106139,0.0275226,1,By_ingredient,0.182,,,
SMTT01533,HDC,None,histidine decarboxylase,Histidine Decarboxylase,ENSG00000140287,P19113,0.0417875,0.0637458,1,By_ingredient,0.1819,,,
SMTT02095,MGAM,None,maltase-glucoamylase,"Maltase-glucoamylase, Intestinal",ENSG00000257335,O43451,0.110777,0.136118,1,By_ingredient,0.1813,,,
SMTT00230,APOA1,11,Apolipoprotein A1,Apolipoprotein A-I,ENSG00000118137,P02647,0.0315064,0.0524247,1,By_ingredient,0.1811,,,
SMTT01353,GCH1,14,GTP Cyclohydrolase 1,GTP Cyclohydrolase 1,ENSG00000131979,P30793,0.0211156,0.0406086,1,By_ingredient,0.1808,,,
SMTT01553,HK1,10,Hexokinase 1,Hexokinase-1,ENSG00000156515,P19367,0.0104415,0.0275226,1,By_ingredient,0.1808,,,
SMTT02071,ME1,None,malic enzyme 1,NADP-dependent Malic Enzyme,ENSG00000065833,P48163,0.209334,0.237213,1,By_ingredient,0.1804,,,
SMTT00184,AMD1,None,adenosylmethionine decarboxylase 1,S-adenosylmethionine Decarboxylase Proenzyme,ENSG00000123505,P17707,0.0620248,0.0852515,1,By_ingredient,0.1803,,,
SMTT02546,PGD,None,phosphogluconate dehydrogenase,"6-phosphogluconate Dehydrogenase, Decarboxylating",ENSG00000142657,P52209,0.0211156,0.0406086,1,By_ingredient,0.1788,,,
SMTT00830,CTNNB1,3,Catenin Beta 1,Catenin Beta-1,ENSG00000168036,P35222,0.129564,0.155314,1,By_ingredient,0.1787,,,
SMTT02636,PNP,14,Purine Nucleoside Phosphorylase,Purine Nucleoside Phosphorylase,ENSG00000198805,P00491,0.157006,0.183341,1,By_ingredient,0.1786,,,
SMTT03661,UCHL1,4,Ubiquitin C-terminal Hydrolase L1,Ubiquitin Carboxyl-terminal Hydrolase Isozyme L1,ENSG00000154277,P09936,0.0106139,0.0275226,1,By_ingredient,0.1786,,,
SMTT03883,CHI3L1,1,Chitinase 3 Like 1,None,ENSG00000133048,P36222,0.0106139,0.0275226,1,By_ingredient,0.1786,,,
SMTT01337,GAPDH,None,glyceraldehyde-3-phosphate dehydrogenase,Glyceraldehyde-3-phosphate Dehydrogenase,ENSG00000111640,P04406,0.0519599,0.0746512,1,By_ingredient,0.1781,,,
SMTT03843,AQP4,18,Aquaporin 4,None,ENSG00000171885,P55087,0.0106139,0.0275226,1,By_ingredient,0.1781,,,
SMTT00341,BAD,None,BCL2 associated agonist of cell death,Bcl2-associated Agonist Of Cell Death,ENSG00000002330,Q92934,0.091586,0.116212,1,By_ingredient,0.178,,,
SMTT00153,ALDH2,12,Aldehyde Dehydrogenase 2 Family Member,"Aldehyde Dehydrogenase, Mitochondrial",ENSG00000111275,P05091,0.165961,0.192582,1,By_ingredient,0.1778,,,
SMTT03549,TREH,11,Trehalase,None,ENSG00000118094,None,0.0106139,0.0275226,1,By_ingredient,0.1775,,,
SMTT01457,GPT2,16,Glutamic--pyruvic Transaminase 2,Alanine Aminotransferase 2,ENSG00000166123,Q8TD30,0.0818368,0.106074,1,By_ingredient,0.1768,,,
SMTT01392,GLB1,3,Galactosidase Beta 1,None,ENSG00000170266,None,0.250462,0.279373,1,By_ingredient,0.1766,,,
SMTT00216,AOC3,None,"amine oxidase, copper containing 3",Membrane Primary Amine Oxidase,ENSG00000131471,Q16853,0.0106139,0.0275226,1,By_ingredient,0.1764,,,
SMTT00867,CYP1B1,2,Cytochrome P450 Family 1 Subfamily B Member 1,Cytochrome P450 1B1,ENSG00000138061,Q16678,0.0620248,0.0852515,1,By_ingredient,0.1734,,,
SMTT03708,VEGFA,None,vascular endothelial growth factor A,Vascular Endothelial Growth Factor A,ENSG00000112715,P15692,0.444395,0.476582,1,By_ingredient,0.173,,,
SMTT01833,KDR,4,Kinase Insert Domain Receptor,Vascular Endothelial Growth Factor Receptor 2,ENSG00000128052,P35968,0.854791,0.871686,1,By_ingredient,0.1711,,,
SMTT00836,CTSB,None,cathepsin B,Cathepsin B,ENSG00000164733,P07858,0.101232,0.126219,1,By_ingredient,0.1699,,,
SMTT00058,ACSL1,None,acyl-CoA synthetase long chain family member 1,Long-chain-fatty-acid--CoA Ligase 1,ENSG00000151726,P33121,0.0106139,0.0275226,1,By_ingredient,0.1697,,,
SMTT01264,FLT4,5,Fms Related Tyrosine Kinase 4,Vascular Endothelial Growth Factor Receptor 3,ENSG00000037280,P35916,0.0211156,0.0406086,1,By_ingredient,0.1692,,,
SMTT02803,PYGL,14,Glycogen Phosphorylase L,"Glycogen Phosphorylase, Liver Form",ENSG00000100504,P06737,0.0818368,0.106074,1,By_ingredient,0.1692,,,
SMTT02824,RAF1,3,"Raf-1 Proto-oncogene, Serine/threonine Kinase",RAF Proto-oncogene Serine/threonine-protein Kinase,ENSG00000132155,P04049,0.0719834,0.0957944,1,By_ingredient,0.1685,,,
SMTT04239,ENPP7,17,Ectonucleotide Pyrophosphatase/phosphodiesterase 7,None,ENSG00000182156,Q6UWV6,0.0211156,0.0406086,1,By_ingredient,0.1684,,,
SMTT00721,COL1A1,17,Collagen Type I Alpha 1 Chain,Collagen Alpha-1(I) Chain,ENSG00000108821,P02452,0.129564,0.155314,1,By_ingredient,0.1674,,,
SMTT01924,LCAT,16,Lecithin-cholesterol Acyltransferase,None,ENSG00000213398,None,0.0106139,0.0275226,1,By_ingredient,0.1672,,,
SMTT01315,G6PC,17,Glucose-6-phosphatase Catalytic Subunit,None,ENSG00000131482,None,0.0417875,0.0637458,1,By_ingredient,0.1671,,,
SMTT04080,SLPI,20,Secretory Leukocyte Peptidase Inhibitor,None,ENSG00000124107,P03973,0.0106139,0.0275226,1,By_ingredient,0.1669,,,
SMTT00826,CTH,1,Cystathionine Gamma-lyase,Cystathionine Gamma-lyase,ENSG00000116761,P32929,0.250462,0.279373,1,By_ingredient,0.1668,,,
SMTT02688,PPOX,1,Protoporphyrinogen Oxidase,None,ENSG00000143224,None,0.0207743,0.0623143,1,By_ingredient,0.1655,,,
SMTT03317,STAT1,2,Signal Transducer And Activator Of Transcription 1,None,ENSG00000115415,None,0.091586,0.116212,1,By_ingredient,0.1653,,,
SMTT02696,PPP3CA,None,protein phosphatase 3 catalytic subunit alpha,Serine/threonine-protein Phosphatase 2B Catalytic Subunit Alpha Isoform,ENSG00000138814,Q08209,0.0315064,0.0524247,1,By_ingredient,0.1629,,,
SMTT02140,MMP3,None,matrix metallopeptidase 3,Stromelysin-1,ENSG00000149968,P08254,0.147955,0.174024,1,By_ingredient,0.1623,,,
SMTT01726,INSR,19,Insulin Receptor,Insulin Receptor,ENSG00000171105,P06213,0.0620248,0.0852515,1,By_ingredient,0.1622,,,
SMTT01490,GSTM2,None,glutathione S-transferase mu 2,Glutathione S-transferase Mu 2,ENSG00000213366,P28161,0.0519599,0.0746512,1,By_ingredient,0.1619,,,
SMTT02842,RB1,13,RB Transcriptional Corepressor 1,Retinoblastoma-associated Protein,ENSG00000139687,P06400,0.12022,0.14579,1,By_ingredient,0.1614,,,
SMTT04074,SLC2A4,17,Solute Carrier Family 2 Member 4,None,ENSG00000181856,P14672,0.138808,0.164718,1,By_ingredient,0.1606,,,
SMTT04091,SP1,12,Sp1 Transcription Factor,None,ENSG00000185591,P08047,0.0211156,0.0406086,1,By_ingredient,0.1595,,,
SMTT01679,IKBKB,8,Inhibitor Of Nuclear Factor Kappa B Kinase Subunit Beta,Inhibitor Of Nuclear Factor Kappa-B Kinase Subunit Beta,ENSG00000104365,O14920,0.0818368,0.106074,1,By_ingredient,0.1567,,,
SMTT00129,AHR,None,aryl hydrocarbon receptor,Aryl Hydrocarbon Receptor,ENSG00000106546,P35869,0.157006,0.183341,1,By_ingredient,0.1496,,,
